,dateRep,continentExp,cases,deaths
313,2/16/20,Amérique du Nord,0,0
314,2/16/20,Amérique latine,0,0
315,2/16/20,Asie du Sud-Est,0,0
316,2/16/20,Europe,0,0
317,2/16/20,Méditerranée orientale,0,0
318,2/16/20,Other,134,0
319,2/16/20,Pacifique occidental,2028,142
320,2/17/20,Afrique,0,0
321,2/17/20,Amérique du Nord,0,0
322,2/17/20,Amérique latine,0,0
323,2/17/20,Asie du Sud-Est,0,0
324,2/17/20,Europe,1,0
325,2/17/20,Méditerranée orientale,1,0
326,2/17/20,Other,0,0
327,2/17/20,Pacifique occidental,2065,106
328,2/18/20,Afrique,0,0
329,2/18/20,Amérique du Nord,0,0
330,2/18/20,Amérique latine,0,0
331,2/18/20,Asie du Sud-Est,1,0
332,2/18/20,Europe,0,0
333,2/18/20,Méditerranée orientale,0,0
334,2/18/20,Other,99,0
335,2/18/20,Pacifique occidental,1895,98
336,2/19/20,Afrique,0,0
337,2/19/20,Amérique du Nord,0,0
338,2/19/20,Amérique latine,0,0
339,2/19/20,Asie du Sud-Est,0,0
340,2/19/20,Europe,0,0
341,2/19/20,Méditerranée orientale,0,0
342,2/19/20,Other,88,0
343,2/19/20,Pacifique occidental,1776,139
344,2/2/20,Afrique,0,0
345,2/2/20,Amérique du Nord,1,0
346,2/2/20,Amérique latine,0,0
347,2/2/20,Asie du Sud-Est,1,0
348,2/2/20,Europe,1,0
349,2/2/20,Méditerranée orientale,1,0
350,2/2/20,Other,0,0
351,2/2/20,Pacifique occidental,2604,46
352,2/20/20,Afrique,0,0
353,2/20/20,Amérique du Nord,0,0
354,2/20/20,Amérique latine,0,0
355,2/20/20,Asie du Sud-Est,0,0
356,2/20/20,Europe,0,0
357,2/20/20,Méditerranée orientale,2,2
358,2/20/20,Other,79,2
359,2/20/20,Pacifique occidental,451,112
360,2/21/20,Afrique,0,0
361,2/21/20,Amérique du Nord,2,0
362,2/21/20,Amérique latine,0,0
363,2/21/20,Asie du Sud-Est,0,0
364,2/21/20,Europe,0,0
365,2/21/20,Méditerranée orientale,3,0
366,2/21/20,Other,13,0
367,2/21/20,Pacifique occidental,978,119
368,2/22/20,Afrique,0,0
369,2/22/20,Amérique du Nord,19,0
370,2/22/20,Amérique latine,0,0
371,2/22/20,Asie du Sud-Est,0,0
372,2/22/20,Europe,15,0
373,2/22/20,Méditerranée orientale,16,2
374,2/22/20,Other,0,0
375,2/22/20,Pacifique occidental,1035,110
376,2/23/20,Afrique,0,0
377,2/23/20,Amérique du Nord,0,0
378,2/23/20,Amérique latine,0,0
379,2/23/20,Asie du Sud-Est,0,0
380,2/23/20,Europe,63,2
381,2/23/20,Méditerranée orientale,12,1
382,2/23/20,Other,0,0
383,2/23/20,Pacifique occidental,934,101
384,2/24/20,Afrique,0,0
385,2/24/20,Amérique du Nord,0,0
386,2/24/20,Amérique latine,0,0
387,2/24/20,Asie du Sud-Est,0,0
388,2/24/20,Europe,54,0
